Weight Vector,Count
[[-0.1      -0.15902  -0.22948  -0.32403  -0.018404]],3
[[ 0.       -0.70316   0.49415  -0.313092 -0.774824]],1
[[ 0.1      -0.8449    0.2688   -0.161292 -0.712843]],1
[[ 0.2      -1.17182  -1.00526   1.394438 -0.727025]],4
[[ 0.1      -1.55426  -0.69445   1.149068 -0.779049]],6
[[ 0.2      -1.72063  -0.36564   0.922058 -1.001289]],2
[[ 0.1      -1.92114   0.32074   0.108858 -0.977279]],7
[[ 0.2      -1.93383   0.20569   0.01372  -0.919436]],2
[[ 0.1      -1.70141  -0.94607  -0.16859  -0.381936]],1
[[ 0.2      -1.81329  -0.6125   -0.30314  -0.577666]],28
[[ 0.3      -1.59386  -0.15747  -0.80074  -0.850206]],5
[[ 0.2      -1.652696 -1.23474  -0.6619   -0.417446]],17
[[ 0.3      -1.676052 -0.91069  -0.96859  -0.695286]],54
[[ 0.4      -1.741819 -1.19087  -0.59744  -0.595547]],7
[[ 0.5      -1.729693 -1.168523 -0.644767 -0.498523]],13
[[ 0.6       -1.7230801 -0.919383  -0.938777  -0.560679 ]],7
[[ 0.5       -1.7750301 -0.593053  -1.247727  -0.462189 ]],6
[[ 0.6       -1.7373931 -0.675411  -1.169184  -0.387665 ]],3
[[ 0.7       -2.1391231 -1.506641   0.076286  -0.531415 ]],8
[[ 0.8       -2.1810881 -1.215701  -0.102304  -0.752105 ]],3
[[ 0.7       -2.1562771 -1.197904  -0.592984  -0.767534 ]],36
[[ 0.8       -2.0857871 -1.18073   -0.771574  -0.731415 ]],17
[[ 0.9       -2.0298481 -1.21177   -0.753267  -0.686762 ]],23
[[ 1.        -1.8565381 -0.81633   -1.227387  -0.936932 ]],6
[[ 1.1       -1.9264171 -1.15404   -0.815277  -0.786502 ]],18
[[ 1.2       -1.8746171 -1.128175  -0.899362  -0.690384 ]],15
[[ 1.1       -1.9265671 -0.801845  -1.208312  -0.591894 ]],18
[[ 1.2       -1.8521391 -1.179075  -1.047002  -0.434354 ]],6
[[ 1.3       -1.6503691 -0.999255  -1.342812  -0.413364 ]],11
[[ 1.4       -1.9040991 -1.695155  -0.462272  -0.260474 ]],27
[[ 1.3       -2.1133191 -1.014155  -1.308632  -0.200258 ]],218
[[ 1.4       -1.9552191 -0.927246  -1.540012  -0.117846 ]],56
[[ 1.5000000e+00 -2.0212271e+00 -1.2498460e+00 -1.1594320e+00
   5.1400000e-04]],10
[[ 1.6       -1.7820571 -0.794196  -1.658312  -0.289356 ]],19
[[ 1.7       -2.1412171 -1.417046  -0.634422  -0.404786 ]],6
[[ 1.8       -2.0348471 -1.047476  -1.050362  -0.598576 ]],21
[[ 1.7       -1.9048471 -2.074256  -0.755062  -0.012196 ]],8
[[ 1.8       -1.9874481 -1.778146  -0.883702  -0.158666 ]],12
[[ 1.7       -2.2751481 -1.372156  -1.246292  -0.126122 ]],22
[[ 1.8       -2.1856361 -0.894776  -1.730602  -0.685212 ]],13
[[ 1.9       -2.3253161 -1.861756  -0.784082  -0.720084 ]],3
[[ 1.8       -2.3582361 -1.416236  -1.241262  -0.621204 ]],2
[[ 1.9       -2.1902461 -0.995556  -1.695242  -0.860514 ]],18
[[ 2.        -2.5500961 -2.361486   0.065278  -1.109784 ]],4
[[ 1.9       -2.9083961 -1.981776  -0.278632  -1.097283 ]],16
[[ 2.        -2.8402161 -1.496736  -0.799962  -1.707713 ]],24
[[ 1.9       -2.8731401 -1.051216  -1.257142  -1.608833 ]],3
[[ 1.8       -2.7309701 -2.216636  -1.2513721 -0.898583 ]],6
[[ 1.9       -2.5859601 -1.855966  -1.6569421 -1.058243 ]],2
[[ 2.        -2.4269201 -1.634756  -1.9687721 -1.069968 ]],40
[[ 1.9       -2.1621301 -2.648496  -1.8356721 -0.522898 ]],9
[[ 2.        -2.6651401 -1.898176  -1.8490681 -1.273238 ]],26
[[ 1.9       -2.6980601 -1.452656  -2.3062481 -1.174358 ]],9
[[ 2.        -3.0338801 -2.176696  -1.1620581 -1.231471 ]],5
[[ 2.1       -2.9275101 -1.807126  -1.5779981 -1.425261 ]],2
[[ 2.        -2.8488201 -2.763756  -1.1993281 -0.674921 ]],1
[[ 1.9       -2.9007671 -2.437426  -1.5082781 -0.576429 ]],47
[[ 2.        -2.9833681 -2.141316  -1.6369181 -0.722899 ]],54
[[ 2.1       -2.7815981 -1.961496  -1.9327281 -0.701909 ]],357
[[ 2.        -2.7654901 -1.315256  -2.7684581 -0.549749 ]],12
[[ 2.1       -2.9242601 -1.975976  -2.1882381 -0.518156 ]],30
[[ 2.        -2.9762101 -1.649646  -2.4971881 -0.419666 ]],6
[[ 2.1       -3.2299401 -2.345546  -1.6166481 -0.266776 ]],39
[[ 2.2       -3.1071501 -1.942456  -2.0809981 -0.658026 ]],17
[[ 2.1       -3.1400741 -1.496936  -2.5381781 -0.559146 ]],2
[[ 2.2       -3.4669941 -2.770996  -0.9824481 -0.573328 ]],9
[[ 2.3       -3.3088941 -2.684087  -1.2138281 -0.490916 ]],37
[[ 2.4       -3.2184871 -2.347007  -1.6636981 -0.860566 ]],46
[[ 2.5       -3.0734771 -1.986337  -2.0692681 -1.020226 ]],5
[[ 2.6       -2.8343071 -1.530687  -2.5681481 -1.310096 ]],5
[[ 2.7       -3.0010771 -2.246037  -1.7788581 -1.213331 ]],18
[[ 2.8       -2.8330871 -1.825357  -2.2328381 -1.452641 ]],25
[[ 2.7       -2.7030871 -2.852137  -1.9375381 -0.866261 ]],9
[[ 2.8       -2.5811071 -2.642317  -2.2570781 -0.853418 ]],5
[[ 2.7       -2.6330571 -2.315987  -2.5660281 -0.754928 ]],60
[[ 2.6       -2.6850071 -1.989657  -2.8749781 -0.656438 ]],25
[[ 2.7       -2.8532071 -2.670867  -2.1609981 -0.523208 ]],15
[[ 2.8       -2.6337771 -2.215837  -2.6585981 -0.795748 ]],51
[[ 2.9       -2.9606971 -3.489897  -1.1028681 -0.80993  ]],7
[[ 2.8       -3.2029571 -3.032377  -1.6975681 -0.831437 ]],3
[[ 2.7       -3.3477471 -2.544437  -2.5318481 -0.620577 ]],177
[[ 2.8       -3.1797571 -2.123757  -2.9858281 -0.859887 ]],1
[[ 2.9       -3.6350671 -3.382297  -1.4416581 -1.009717 ]],3
[[ 2.8       -3.6870141 -3.055967  -1.7506081 -0.911225 ]],34
[[ 2.7       -3.8962341 -2.374967  -2.5969681 -0.851009 ]],19
[[ 2.6       -3.9291541 -1.929447  -3.0541481 -0.752129 ]],28
[[ 2.7       -4.1232441 -2.797927  -2.1386481 -0.65808  ]],56
[[ 2.8       -4.0168741 -2.428357  -2.5545881 -0.85187  ]],12
[[ 2.9       -3.7974441 -1.973327  -3.0521881 -1.12441  ]],5
[[ 3.        -4.3022141 -2.553557  -1.9277881 -1.16342  ]],17
[[ 3.1       -4.1431741 -2.332347  -2.2396181 -1.175145 ]],27
[[ 3.        -4.0787021 -1.871727  -3.0743181 -0.904155 ]],5
[[ 3.1       -4.1559901 -2.616457  -2.4251181 -0.868036 ]],15
[[ 3.2       -3.9772401 -2.138457  -2.9387381 -1.191656 ]],27
[[ 3.3       -4.1779001 -2.810357  -2.0371181 -1.1816575]],86
[[ 3.4       -4.0559201 -2.600537  -2.3566581 -1.1688145]],106
[[ 3.5       -3.8978201 -2.513628  -2.5880381 -1.0864025]],3
[[ 3.4       -3.8191301 -3.470258  -2.2093681 -0.3360625]],15
[[ 3.5       -3.8684111 -3.164208  -2.3929281 -0.6194625]],31
[[ 3.4       -3.9203611 -2.837878  -2.7018781 -0.5209725]],17
[[ 3.5       -3.6811911 -2.382228  -3.2007581 -0.8108425]],1
[[ 3.4       -3.7331411 -2.055898  -3.5097081 -0.7123525]],18
[[ 3.5       -3.9150111 -2.959558  -2.6080881 -0.7245955]],6
[[ 3.6       -3.7119111 -2.774358  -2.9092981 -0.7242952]],1
[[ 3.5       -3.7638611 -2.448028  -3.2182481 -0.6258052]],7
[[ 3.6       -4.1243911 -3.045428  -2.2090881 -0.7086512]],13
[[ 3.7       -3.9736211 -2.849468  -2.5149281 -0.7208942]],52
[[ 3.8       -3.8286111 -2.488798  -2.9204981 -0.8805542]],66
[[ 3.7       -3.8805611 -2.162468  -3.2294481 -0.7820642]],21
[[ 3.8       -4.3538711 -2.780358  -2.0906481 -0.8894742]],16
[[ 3.7       -4.3867911 -2.334838  -2.5478281 -0.7905942]],162
[[ 3.6       -4.4197151 -1.889318  -3.0050081 -0.6917142]],19
[[ 3.7       -4.4854821 -2.169498  -2.6338581 -0.5919752]],103
[[ 3.6       -4.4067921 -3.126128  -2.2551881  0.1583648]],5
[[ 3.5       -4.4587391 -2.799798  -2.5641381  0.2568568]],19
[[ 3.6       -4.2556391 -2.614598  -2.8653481  0.2571571]],31
[[ 3.7       -4.0538691 -2.434778  -3.1611581  0.2781471]],20
[[ 3.8       -3.8344391 -1.979748  -3.6587581  0.0056071]],1
[[ 3.9       -4.3020891 -2.546108  -2.5618581 -0.0278419]],104
[[ 4.        -4.1531291 -2.203228  -2.9649481 -0.1704319]],43
